Level,Song,Score,Performance,Difficulty,Details_Number
☆12,Highcharge Divolt(ANOTHER),471,AA86.48%(AAA - 69),HARD,2475
☆12,Holic(ANOTHER),736,A74.38%(AA - 78),EASY,1690
☆12,Hollywood Galaxy(ANOTHER),599,AA78.52%(AA + 20),EASY,2164
☆12,HYPE THE CORE(ANOTHER),736,A73.97%(AA - 143),FAILED,2768
☆12,I(ANOTHER),514,A74.05%(AA - 141),EASY,2799
☆12,I will be back -オレは帰ってきた-(ANOTHER),983,A72.72%(AA - 153),EASY,2199
☆12,ICARUS(ANOTHER),395,A75.37%(AA - 65),HARD,2014
☆12,ICARUS(LEGGENDARIA),628,B60.05%(B + 179),FAILED,2402
☆12,Idola(ANOTHER),875,AA78.38%(AA + 22),EASY,2936
☆12,Ignis†Irae(ANOTHER),520,A71.49%(A + 190),FAILED,2814
☆12,Illegal Function Call(LEGGENDARIA),,,,0
☆12,Illusionary Waterlily(ANOTHER),967,A73.56%(AA - 147),EASY,2560
☆12,INAZUMA(ANOTHER),776,A75.13%(AA - 83),EASY,2335
☆12,Inferno of Fomalhaut(ANOTHER),689,A69.18%(A + 86),FAILED,2384
☆12,Infinite cave(ANOTHER),710,AA84.13%(AAA - 146),HARD,2566
☆12,Initiation(ANOTHER),,,,0
☆12,innocent revolver(ANOTHER),647,A74.59%(AA - 126),EASY,2930
☆12,Innocent Walls(ANOTHER),952,A77.11%(AA - 21),EASY,2395
☆12,INORI(ANOTHER),532,A77.63%(AA - 6),HARD,2686
☆12,INSOMNIA(ANOTHER),969,A70.44%(A + 130),EASY,2426
☆12,Invitation from Mr.C(ANOTHER),590,AA78.56%(AA + 21),HARD,2198
☆12,invoker(ANOTHER),573,AA81.37%(AA + 119),CLEAR,2700
☆12,invoker(LEGGENDARIA),824,A73.38%(AA - 156),EASY,2602
☆12,IX(ANOTHER),999,B64.71%(A - 82),FAILED,2714
☆12,JOMANDA(ANOTHER),934,A67.71%(A + 37),EASY,2451
☆12,JUSTICE/GUILTY feat. Nana Takahashi & 709sec.(ANOTHER),740,AA81.9%(AA + 157),EASY,3127
☆12,Kailua(ANOTHER),421,AA84.78%(AAA - 93),HARD,1899
☆12,KAISER PHOENIX(LEGGENDARIA),,,,0
☆12,KAMAITACHI(ANOTHER),811,A77.41%(AA - 13),HARD,2573
☆12,KAMAITACHI(LEGGENDARIA),,,,0
☆12,Karma(ANOTHER),702,AA83.98%(AAA - 125),EASY,2128
☆12,KILL EACH OTHER(ANOTHER),720,A74.4%(AA - 128),EASY,2811
☆12,KING(LEGGENDARIA),452,AA81.52%(AA + 151),HARD,3300
☆12,kors k's How to make OTOGE CORE 「LONG」(ANOTHER),434,AA79.45%(AA + 62),EASY,2954
☆12,Kung-fu Empire(LEGGENDARIA),1197,A75.96%(AA - 73),EASY,3037
☆12,L.F.O(ANOTHER),646,A75.87%(AA - 65),EASY,2575
☆12,LASER CRUSTER(ANOTHER),1162,A68.56%(A + 65),EASY,2360
☆12,LASER CRUSTER (IGNITE REMIX)(ANOTHER),1196,A68.76%(A + 71),EASY,2338
☆12,Last Dance(ANOTHER),1298,B64.15%(A - 85),EASY,2153
☆12,Lethal Weapon(ANOTHER),1191,A71.44%(A + 160),EASY,2406
☆12,Level 2(ANOTHER),534,A73.84%(AA - 123),FAILED,2298
☆12,Level 3(ANOTHER),811,A73.09%(AA - 173),FAILED,2697
☆12,Level 4(ANOTHER),578,A69.57%(A + 109),FAILED,2620
☆12,Level One(ANOTHER),1351,A67.04%(A + 14),EASY,2510
☆12,Liberation(ANOTHER),509,AA83.72%(AAA - 181),HARD,2920
☆12,"Life Is A Game ft.DD""ナカタ""Metal(ANOTHER)",470,AA82.12%(AA + 144),HARD,2738
☆12,LIGHTNING STRIKES(ANOTHER),753,AA78.11%(AA + 11),HARD,2754
☆12,Little Little Princess(LEGGENDARIA),572,AA81.67%(AA + 158),FAILED,3324
☆12,Little Star(ANOTHER),717,A75.09%(AA - 91),HARD,2517
☆12,LIVE DRIVING!! feat. 花たん(ANOTHER),772,AA81.49%(AA + 147),EASY,3240
☆12,LOCUS OF THE TRAVEL(ANOTHER),532,A73.58%(AA - 163),EASY,2849
☆12,Logic Board(ANOTHER),440,AA78.4%(AA + 21),FAILED,2661
☆12,Lords Of The Roundtable(ANOTHER),987,A74.17%(AA - 107),EASY,2191
☆12,LOST TECHNOLOGIE(ANOTHER),1008,B64.79%(A - 70),EASY,2396
☆12,LOUDER ROLLING THUNDER(ANOTHER),450,A69.82%(A + 104),EASY,2304
☆12,Love Is Eternity(ANOTHER),539,AA82.04%(AA + 120),HARD,2325
☆12,lower world(ANOTHER),776,A76.67%(AA - 28),HARD,1923
☆12,M4K3 1T B0UNC3(ANOTHER),857,AA79.95%(AA + 66),EASY,2432
☆12,Macho Monky(ANOTHER),884,AA78.22%(AA + 13),HARD,2381
☆12,Mare Nectaris(ANOTHER),,,,0
☆12,Matt Silver(ANOTHER),699,A74.81%(AA - 102),HARD,2551
☆12,MAX 300(ANOTHER),452,A75.23%(AA - 77),EASY,2251
☆12,MAX 360(ANOTHER),263,AA78.91%(AA + 36),HARD,2541
☆12,MAXIMUM CHEAT GIRL(ANOTHER),338,A76.8%(AA - 35),EASY,2745
☆12,MEGAERA(ANOTHER),511,A76.13%(AA - 60),FAILED,2756
☆12,Megalara Garuda(ANOTHER),931,A76.28%(AA - 45),EASY,2293
☆12,Meissa(ANOTHER),351,AA81.52%(AA + 105),HARD,2307
☆12,MENDES(ANOTHER),1366,B60.87%(B + 204),FAILED,2340
☆12,Million Dollar(ANOTHER),,,,0
☆12,minimalian(ANOTHER),566,AA78.72%(AA + 19),FAILED,1598
☆12,MINT(ANOTHER),889,AA78.76%(AA + 22),HARD,1832
☆12,Miracle 5ympho X(LEGGENDARIA),,,,0
☆12,moon_child(ANOTHER),1072,A73.36%(AA - 147),FAILED,2437
